"Notes","Occurrence State","Occurrence State Code","Year","Year Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","Certain infectious and parasitic diseases","A00-B99",4397,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Neoplasms","C00-D48",11359,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1058,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E89",5717,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Mental and behavioural disorders","F01-F99",7619,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the nervous system","G00-G98",6135,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the eye and adnexa","H00-H59",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the ear and mastoid process","H60-H95",14,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the circulatory system","I00-I99",27275,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the respiratory system","J00-J98",12915,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the digestive system","K00-K92",3329,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98",316,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99",627,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Diseases of the genitourinary system","N00-N99",4488,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Pregnancy, childbirth and the puerperium","O00-O99",49,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Certain conditions originating in the perinatal period","P00-P96",245,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",213,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",8697,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Injury, poisoning and certain other consequences of external causes","S00-T98",4564,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","External causes of morbidity and mortality","V01-Y89",4760,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Certain infectious and parasitic diseases","A00-B99",4422,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Neoplasms","C00-D48",11008,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1097,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Endocrine, nutritional and metabolic diseases","E00-E89",5891,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Mental and behavioural disorders","F01-F99",7484,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the nervous system","G00-G98",6423,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the eye and adnexa","H00-H59",18,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the ear and mastoid process","H60-H95",11,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the circulatory system","I00-I99",27444,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the respiratory system","J00-J98",12736,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the digestive system","K00-K92",3337,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the skin and subcutaneous tissue","L00-L98",285,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the musculoskeletal system and connective tissue","M00-M99",726,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Diseases of the genitourinary system","N00-N99",4550,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Pregnancy, childbirth and the puerperium","O00-O99",60,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Certain conditions originating in the perinatal period","P00-P96",262,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",205,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",9009,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Injury, poisoning and certain other consequences of external causes","S00-T98",4652,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","External causes of morbidity and mortality","V01-Y89",4990,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Certain infectious and parasitic diseases","A00-B99",5470,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Neoplasms","C00-D48",11453,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1330,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Endocrine, nutritional and metabolic diseases","E00-E89",7948,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Mental and behavioural disorders","F01-F99",8746,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the nervous system","G00-G98",7594,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the eye and adnexa","H00-H59",16,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the ear and mastoid process","H60-H95",10,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the circulatory system","I00-I99",32699,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the respiratory system","J00-J98",17119,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the digestive system","K00-K92",3788,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the skin and subcutaneous tissue","L00-L98",397,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the musculoskeletal system and connective tissue","M00-M99",771,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Diseases of the genitourinary system","N00-N99",5789,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Pregnancy, childbirth and the puerperium","O00-O99",32,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Certain conditions originating in the perinatal period","P00-P96",217,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",213,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",11389,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Injury, poisoning and certain other consequences of external causes","S00-T98",5019,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","Codes for special purposes","U00-U99",6706,Not Applicable,Not Applicable
,"Alabama","01","2020","2020","External causes of morbidity and mortality","V01-Y89",5332,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Certain infectious and parasitic diseases","A00-B99",6368,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Neoplasms","C00-D48",11510,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1574,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Endocrine, nutritional and metabolic diseases","E00-E89",9159,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Mental and behavioural disorders","F01-F99",8695,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the nervous system","G00-G98",7536,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the eye and adnexa","H00-H59",16,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the ear and mastoid process","H60-H95",30,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the circulatory system","I00-I99",34959,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the respiratory system","J00-J98",19538,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the digestive system","K00-K92",4165,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the skin and subcutaneous tissue","L00-L98",472,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the musculoskeletal system and connective tissue","M00-M99",827,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Diseases of the genitourinary system","N00-N99",6825,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Pregnancy, childbirth and the puerperium","O00-O99",56,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Certain conditions originating in the perinatal period","P00-P96",232,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",219,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",12895,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Injury, poisoning and certain other consequences of external causes","S00-T98",5620,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","Codes for special purposes","U00-U99",9718,Not Applicable,Not Applicable
,"Alabama","01","2021","2021","External causes of morbidity and mortality","V01-Y89",5994,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Certain infectious and parasitic diseases","A00-B99",5342,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Neoplasms","C00-D48",11408,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1434,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Endocrine, nutritional and metabolic diseases","E00-E89",8689,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Mental and behavioural disorders","F01-F99",8452,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the nervous system","G00-G98",7729,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the eye and adnexa","H00-H59",21,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the ear and mastoid process","H60-H95",16,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the circulatory system","I00-I99",33030,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the respiratory system","J00-J98",15900,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the digestive system","K00-K92",4045,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the skin and subcutaneous tissue","L00-L98",415,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the musculoskeletal system and connective tissue","M00-M99",833,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Diseases of the genitourinary system","N00-N99",5872,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Pregnancy, childbirth and the puerperium","O00-O99",22,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Certain conditions originating in the perinatal period","P00-P96",219,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",235,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",11605,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Injury, poisoning and certain other consequences of external causes","S00-T98",5688,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","Codes for special purposes","U00-U99",4226,Not Applicable,Not Applicable
,"Alabama","01","2022","2022","External causes of morbidity and mortality","V01-Y89",5913,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Certain infectious and parasitic diseases","A00-B99",4951,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Neoplasms","C00-D48",11490,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1345,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Endocrine, nutritional and metabolic diseases","E00-E89",8329,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Mental and behavioural disorders","F01-F99",7943,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the nervous system","G00-G98",7725,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the eye and adnexa","H00-H59",21,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the ear and mastoid process","H60-H95",20,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the circulatory system","I00-I99",31307,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the respiratory system","J00-J98",14186,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the digestive system","K00-K92",4012,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the skin and subcutaneous tissue","L00-L98",411,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the musculoskeletal system and connective tissue","M00-M99",920,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Diseases of the genitourinary system","N00-N99",5567,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Pregnancy, childbirth and the puerperium","O00-O99",25,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Certain conditions originating in the perinatal period","P00-P96",262,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",231,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",10948,Not Applicable,Not Applicable
,"Alabama","01","2023","2023","Injury, poisoning and certain other consequences of external causes","S00-T98",5871,Not Applicable,Not Applicable
