"Notes","Residence State","Residence State Code","Year","Year Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","Certain infectious and parasitic diseases","A00-B99",4531,4887871,92.7
,"Alabama","01","2018","2018","Neoplasms","C00-D48",11601,4887871,237.3
,"Alabama","01","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1086,4887871,22.2
,"Alabama","01","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E89",5926,4887871,121.2
,"Alabama","01","2018","2018","Mental and behavioural disorders","F01-F99",7886,4887871,161.3
,"Alabama","01","2018","2018","Diseases of the nervous system","G00-G98",6288,4887871,128.6
,"Alabama","01","2018","2018","Diseases of the eye and adnexa","H00-H59",18,4887871,Unreliable
,"Alabama","01","2018","2018","Diseases of the ear and mastoid process","H60-H95",15,4887871,Unreliable
,"Alabama","01","2018","2018","Diseases of the circulatory system","I00-I99",27812,4887871,569.0
,"Alabama","01","2018","2018","Diseases of the respiratory system","J00-J98",13279,4887871,271.7
,"Alabama","01","2018","2018","Diseases of the digestive system","K00-K92",3437,4887871,70.3
,"Alabama","01","2018","2018","Diseases of the skin and subcutaneous tissue","L00-L98",334,4887871,6.8
,"Alabama","01","2018","2018","Diseases of the musculoskeletal system and connective tissue","M00-M99",657,4887871,13.4
,"Alabama","01","2018","2018","Diseases of the genitourinary system","N00-N99",4630,4887871,94.7
,"Alabama","01","2018","2018","Pregnancy, childbirth and the puerperium","O00-O99",51,4887871,1.0
,"Alabama","01","2018","2018","Certain conditions originating in the perinatal period","P00-P96",262,4887871,5.4
,"Alabama","01","2018","2018","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",223,4887871,4.6
,"Alabama","01","2018","2018","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",8869,4887871,181.4
,"Alabama","01","2018","2018","Injury, poisoning and certain other consequences of external causes","S00-T98",4706,4887871,96.3
,"Alabama","01","2018","2018","External causes of morbidity and mortality","V01-Y89",4910,4887871,100.5
,"Alabama","01","2019","2019","Certain infectious and parasitic diseases","A00-B99",4534,4903185,92.5
,"Alabama","01","2019","2019","Neoplasms","C00-D48",11237,4903185,229.2
,"Alabama","01","2019","2019","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1159,4903185,23.6
,"Alabama","01","2019","2019","Endocrine, nutritional and metabolic diseases","E00-E89",6149,4903185,125.4
,"Alabama","01","2019","2019","Mental and behavioural disorders","F01-F99",7753,4903185,158.1
,"Alabama","01","2019","2019","Diseases of the nervous system","G00-G98",6576,4903185,134.1
,"Alabama","01","2019","2019","Diseases of the eye and adnexa","H00-H59",20,4903185,0.4
,"Alabama","01","2019","2019","Diseases of the ear and mastoid process","H60-H95",12,4903185,Unreliable
,"Alabama","01","2019","2019","Diseases of the circulatory system","I00-I99",27990,4903185,570.9
,"Alabama","01","2019","2019","Diseases of the respiratory system","J00-J98",13084,4903185,266.8
,"Alabama","01","2019","2019","Diseases of the digestive system","K00-K92",3456,4903185,70.5
,"Alabama","01","2019","2019","Diseases of the skin and subcutaneous tissue","L00-L98",300,4903185,6.1
,"Alabama","01","2019","2019","Diseases of the musculoskeletal system and connective tissue","M00-M99",739,4903185,15.1
,"Alabama","01","2019","2019","Diseases of the genitourinary system","N00-N99",4669,4903185,95.2
,"Alabama","01","2019","2019","Pregnancy, childbirth and the puerperium","O00-O99",65,4903185,1.3
,"Alabama","01","2019","2019","Certain conditions originating in the perinatal period","P00-P96",268,4903185,5.5
,"Alabama","01","2019","2019","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",204,4903185,4.2
,"Alabama","01","2019","2019","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",9100,4903185,185.6
,"Alabama","01","2019","2019","Injury, poisoning and certain other consequences of external causes","S00-T98",4757,4903185,97.0
,"Alabama","01","2019","2019","External causes of morbidity and mortality","V01-Y89",5118,4903185,104.4
,"Alabama","01","2020","2020","Certain infectious and parasitic diseases","A00-B99",5720,4921532,116.2
,"Alabama","01","2020","2020","Neoplasms","C00-D48",11683,4921532,237.4
,"Alabama","01","2020","2020","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1384,4921532,28.1
,"Alabama","01","2020","2020","Endocrine, nutritional and metabolic diseases","E00-E89",8298,4921532,168.6
,"Alabama","01","2020","2020","Mental and behavioural disorders","F01-F99",9070,4921532,184.3
,"Alabama","01","2020","2020","Diseases of the nervous system","G00-G98",7838,4921532,159.3
,"Alabama","01","2020","2020","Diseases of the eye and adnexa","H00-H59",17,4921532,Unreliable
,"Alabama","01","2020","2020","Diseases of the ear and mastoid process","H60-H95",11,4921532,Unreliable
,"Alabama","01","2020","2020","Diseases of the circulatory system","I00-I99",33563,4921532,682.0
,"Alabama","01","2020","2020","Diseases of the respiratory system","J00-J98",17855,4921532,362.8
,"Alabama","01","2020","2020","Diseases of the digestive system","K00-K92",3962,4921532,80.5
,"Alabama","01","2020","2020","Diseases of the skin and subcutaneous tissue","L00-L98",401,4921532,8.1
,"Alabama","01","2020","2020","Diseases of the musculoskeletal system and connective tissue","M00-M99",799,4921532,16.2
,"Alabama","01","2020","2020","Diseases of the genitourinary system","N00-N99",5988,4921532,121.7
,"Alabama","01","2020","2020","Pregnancy, childbirth and the puerperium","O00-O99",35,4921532,0.7
,"Alabama","01","2020","2020","Certain conditions originating in the perinatal period","P00-P96",214,4921532,4.3
,"Alabama","01","2020","2020","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",219,4921532,4.4
,"Alabama","01","2020","2020","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",11703,4921532,237.8
,"Alabama","01","2020","2020","Injury, poisoning and certain other consequences of external causes","S00-T98",5119,4921532,104.0
,"Alabama","01","2020","2020","Codes for special purposes","U00-U99",7012,4921532,142.5
,"Alabama","01","2020","2020","External causes of morbidity and mortality","V01-Y89",5449,4921532,110.7
,"Alabama","01","2021","2021","Certain infectious and parasitic diseases","A00-B99",6649,5039877,131.9
,"Alabama","01","2021","2021","Neoplasms","C00-D48",11756,5039877,233.3
,"Alabama","01","2021","2021","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1652,5039877,32.8
,"Alabama","01","2021","2021","Endocrine, nutritional and metabolic diseases","E00-E89",9519,5039877,188.9
,"Alabama","01","2021","2021","Mental and behavioural disorders","F01-F99",8998,5039877,178.5
,"Alabama","01","2021","2021","Diseases of the nervous system","G00-G98",7713,5039877,153.0
,"Alabama","01","2021","2021","Diseases of the eye and adnexa","H00-H59",16,5039877,Unreliable
,"Alabama","01","2021","2021","Diseases of the ear and mastoid process","H60-H95",33,5039877,0.7
,"Alabama","01","2021","2021","Diseases of the circulatory system","I00-I99",35772,5039877,709.8
,"Alabama","01","2021","2021","Diseases of the respiratory system","J00-J98",20385,5039877,404.5
,"Alabama","01","2021","2021","Diseases of the digestive system","K00-K92",4319,5039877,85.7
,"Alabama","01","2021","2021","Diseases of the skin and subcutaneous tissue","L00-L98",489,5039877,9.7
,"Alabama","01","2021","2021","Diseases of the musculoskeletal system and connective tissue","M00-M99",855,5039877,17.0
,"Alabama","01","2021","2021","Diseases of the genitourinary system","N00-N99",7066,5039877,140.2
,"Alabama","01","2021","2021","Pregnancy, childbirth and the puerperium","O00-O99",53,5039877,1.1
,"Alabama","01","2021","2021","Certain conditions originating in the perinatal period","P00-P96",243,5039877,4.8
,"Alabama","01","2021","2021","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",222,5039877,4.4
,"Alabama","01","2021","2021","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",13155,5039877,261.0
,"Alabama","01","2021","2021","Injury, poisoning and certain other consequences of external causes","S00-T98",5803,5039877,115.1
,"Alabama","01","2021","2021","Codes for special purposes","U00-U99",10131,5039877,201.0
,"Alabama","01","2021","2021","External causes of morbidity and mortality","V01-Y89",6208,5039877,123.2
,"Alabama","01","2022","2022","Certain infectious and parasitic diseases","A00-B99",5529,5074296,109.0
,"Alabama","01","2022","2022","Neoplasms","C00-D48",11648,5074296,229.5
,"Alabama","01","2022","2022","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1480,5074296,29.2
,"Alabama","01","2022","2022","Endocrine, nutritional and metabolic diseases","E00-E89",9016,5074296,177.7
,"Alabama","01","2022","2022","Mental and behavioural disorders","F01-F99",8759,5074296,172.6
,"Alabama","01","2022","2022","Diseases of the nervous system","G00-G98",7930,5074296,156.3
,"Alabama","01","2022","2022","Diseases of the eye and adnexa","H00-H59",22,5074296,0.4
,"Alabama","01","2022","2022","Diseases of the ear and mastoid process","H60-H95",16,5074296,Unreliable
,"Alabama","01","2022","2022","Diseases of the circulatory system","I00-I99",33768,5074296,665.5
,"Alabama","01","2022","2022","Diseases of the respiratory system","J00-J98",16427,5074296,323.7
,"Alabama","01","2022","2022","Diseases of the digestive system","K00-K92",4149,5074296,81.8
,"Alabama","01","2022","2022","Diseases of the skin and subcutaneous tissue","L00-L98",422,5074296,8.3
,"Alabama","01","2022","2022","Diseases of the musculoskeletal system and connective tissue","M00-M99",850,5074296,16.8
,"Alabama","01","2022","2022","Diseases of the genitourinary system","N00-N99",6013,5074296,118.5
,"Alabama","01","2022","2022","Pregnancy, childbirth and the puerperium","O00-O99",24,5074296,0.5
,"Alabama","01","2022","2022","Certain conditions originating in the perinatal period","P00-P96",212,5074296,4.2
,"Alabama","01","2022","2022","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",241,5074296,4.7
,"Alabama","01","2022","2022","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",11770,5074296,232.0
,"Alabama","01","2022","2022","Injury, poisoning and certain other consequences of external causes","S00-T98",5823,5074296,114.8
,"Alabama","01","2022","2022","Codes for special purposes","U00-U99",4392,5074296,86.6
,"Alabama","01","2022","2022","External causes of morbidity and mortality","V01-Y89",6058,5074296,119.4
,"Alabama","01","2023","2023","Certain infectious and parasitic diseases","A00-B99",5108,5108468,100.0
,"Alabama","01","2023","2023","Neoplasms","C00-D48",11729,5108468,229.6
,"Alabama","01","2023","2023","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1407,5108468,27.5
,"Alabama","01","2023","2023","Endocrine, nutritional and metabolic diseases","E00-E89",8573,5108468,167.8
,"Alabama","01","2023","2023","Mental and behavioural disorders","F01-F99",8230,5108468,161.1
,"Alabama","01","2023","2023","Diseases of the nervous system","G00-G98",7871,5108468,154.1
,"Alabama","01","2023","2023","Diseases of the eye and adnexa","H00-H59",23,5108468,0.5
,"Alabama","01","2023","2023","Diseases of the ear and mastoid process","H60-H95",20,5108468,0.4
,"Alabama","01","2023","2023","Diseases of the circulatory system","I00-I99",31916,5108468,624.8
,"Alabama","01","2023","2023","Diseases of the respiratory system","J00-J98",14648,5108468,286.7
,"Alabama","01","2023","2023","Diseases of the digestive system","K00-K92",4134,5108468,80.9
,"Alabama","01","2023","2023","Diseases of the skin and subcutaneous tissue","L00-L98",428,5108468,8.4
,"Alabama","01","2023","2023","Diseases of the musculoskeletal system and connective tissue","M00-M99",945,5108468,18.5
,"Alabama","01","2023","2023","Diseases of the genitourinary system","N00-N99",5704,5108468,111.7
,"Alabama","01","2023","2023","Pregnancy, childbirth and the puerperium","O00-O99",26,5108468,0.5
,"Alabama","01","2023","2023","Certain conditions originating in the perinatal period","P00-P96",270,5108468,5.3
,"Alabama","01","2023","2023","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",233,5108468,4.6
,"Alabama","01","2023","2023","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",11124,5108468,217.8
,"Alabama","01","2023","2023","Injury, poisoning and certain other consequences of external causes","S00-T98",5977,5108468,117.0
,"Alabama","01","2023","2023","Codes for special purposes","U00-U99",1302,5108468,25.5
,"Alabama","01","2023","2023","External causes of morbidity and mortality","V01-Y89",6095,5108468,119.3
,"Alabama","01","2024 (provisional)","2024","Certain infectious and parasitic diseases","A00-B99",4964,5108468,97.2
,"Alabama","01","2024 (provisional)","2024","Neoplasms","C00-D48",11809,5108468,231.2
,"Alabama","01","2024 (provisional)","2024","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1391,5108468,27.2
,"Alabama","01","2024 (provisional)","2024","Endocrine, nutritional and metabolic diseases","E00-E89",8411,5108468,164.6
,"Alabama","01","2024 (provisional)","2024","Mental and behavioural disorders","F01-F99",7981,5108468,156.2
,"Alabama","01","2024 (provisional)","2024","Diseases of the nervous system","G00-G98",7992,5108468,156.4
,"Alabama","01","2024 (provisional)","2024","Diseases of the eye and adnexa","H00-H59",25,5108468,0.5
,"Alabama","01","2024 (provisional)","2024","Diseases of the ear and mastoid process","H60-H95",27,5108468,0.5
,"Alabama","01","2024 (provisional)","2024","Diseases of the circulatory system","I00-I99",31868,5108468,623.8
,"Alabama","01","2024 (provisional)","2024","Diseases of the respiratory system","J00-J98",14342,5108468,280.7
,"Alabama","01","2024 (provisional)","2024","Diseases of the digestive system","K00-K92",4194,5108468,82.1
,"Alabama","01","2024 (provisional)","2024","Diseases of the skin and subcutaneous tissue","L00-L98",412,5108468,8.1
,"Alabama","01","2024 (provisional)","2024","Diseases of the musculoskeletal system and connective tissue","M00-M99",966,5108468,18.9
,"Alabama","01","2024 (provisional)","2024","Diseases of the genitourinary system","N00-N99",5478,5108468,107.2
,"Alabama","01","2024 (provisional)","2024","Pregnancy, childbirth and the puerperium","O00-O99",21,5108468,0.4
,"Alabama","01","2024 (provisional)","2024","Certain conditions originating in the perinatal period","P00-P96",250,5108468,4.9
,"Alabama","01","2024 (provisional)","2024","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",243,5108468,4.8
,"Alabama","01","2024 (provisional)","2024","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",10883,5108468,213.0
,"Alabama","01","2024 (provisional)","2024","Injury, poisoning and certain other consequences of external causes","S00-T98",5443,5108468,106.5
,"Alabama","01","2024 (provisional)","2024","Codes for special purposes","U00-U99",831,5108468,16.3
,"Alabama","01","2024 (provisional)","2024","External causes of morbidity and mortality","V01-Y89",5546,5108468,108.6
,"Alabama","01","2025 (provisional and partial)","2025","Certain infectious and parasitic diseases","A00-B99",3419,5108468,66.9
,"Alabama","01","2025 (provisional and partial)","2025","Neoplasms","C00-D48",8393,5108468,164.3
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",874,5108468,17.1
,"Alabama","01","2025 (provisional and partial)","2025","Endocrine, nutritional and metabolic diseases","E00-E89",5743,5108468,112.4
,"Alabama","01","2025 (provisional and partial)","2025","Mental and behavioural disorders","F01-F99",5662,5108468,110.8
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the nervous system","G00-G98",6107,5108468,119.5
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the eye and adnexa","H00-H59",17,5108468,Unreliable
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the ear and mastoid process","H60-H95",31,5108468,0.6
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the circulatory system","I00-I99",22696,5108468,444.3
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the respiratory system","J00-J98",10334,5108468,202.3
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the digestive system","K00-K92",2830,5108468,55.4
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the skin and subcutaneous tissue","L00-L98",294,5108468,5.8
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the musculoskeletal system and connective tissue","M00-M99",723,5108468,14.2
,"Alabama","01","2025 (provisional and partial)","2025","Diseases of the genitourinary system","N00-N99",3853,5108468,75.4
,"Alabama","01","2025 (provisional and partial)","2025","Pregnancy, childbirth and the puerperium","O00-O99",18,5108468,Unreliable
,"Alabama","01","2025 (provisional and partial)","2025","Certain conditions originating in the perinatal period","P00-P96",150,5108468,2.9
,"Alabama","01","2025 (provisional and partial)","2025","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",147,5108468,2.9
,"Alabama","01","2025 (provisional and partial)","2025","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",8026,5108468,157.1
,"Alabama","01","2025 (provisional and partial)","2025","Injury, poisoning and certain other consequences of external causes","S00-T98",2718,5108468,53.2
,"Alabama","01","2025 (provisional and partial)","2025","Codes for special purposes","U00-U99",271,5108468,5.3
,"Alabama","01","2025 (provisional and partial)","2025","External causes of morbidity and mortality","V01-Y89",1220,5108468,23.9
,"Alabama","01","2025 (provisional and partial)","2025","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1878,5108468,36.8
,"Alaska","02","2018","2018","Certain infectious and parasitic diseases","A00-B99",370,737438,50.2
,"Alaska","02","2018","2018","Neoplasms","C00-D48",1084,737438,147.0
,"Alaska","02","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",95,737438,12.9
,"Alaska","02","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E89",625,737438,84.8
,"Alaska","02","2018","2018","Mental and behavioural disorders","F01-F99",1230,737438,166.8
,"Alaska","02","2018","2018","Diseases of the nervous system","G00-G98",465,737438,63.1
,"Alaska","02","2018","2018","Diseases of the circulatory system","I00-I99",2057,737438,278.9
