"Notes","Residence 2013 Urbanization","Residence 2013 Urbanization Code","Year","Year Code","UCD - ICD Chapter","UCD - ICD Chapter Code","Sex","Sex Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Female","F","American Indian or Alaska Native","1002-5",40,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Female","F","Asian","A",354,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Female","F","Black or African American","2054-5",2430,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Female","F","White","2106-3",5545,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Female","F","More than one race","M",39,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Male","M","American Indian or Alaska Native","1002-5",27,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Male","M","Asian","A",454,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Male","M","Black or African American","2054-5",2833,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",11,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Male","M","White","2106-3",6104,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Certain infectious and parasitic diseases","A00-B99","Male","M","More than one race","M",68,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Female","F","American Indian or Alaska Native","1002-5",184,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Female","F","Asian","A",5044,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Female","F","Black or African American","2054-5",16238,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",149,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Female","F","White","2106-3",56032,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Female","F","More than one race","M",454,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Male","M","American Indian or Alaska Native","1002-5",194,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Male","M","Asian","A",5221,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Male","M","Black or African American","2054-5",15484,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",117,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Male","M","White","2106-3",60456,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Neoplasms","C00-D48","Male","M","More than one race","M",418,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","Asian","A",76,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","Black or African American","2054-5",510,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Female","F","White","2106-3",873,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Asian","A",57,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","Black or African American","2054-5",428,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89","Male","M","White","2106-3",733,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","American Indian or Alaska Native","1002-5",77,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Asian","A",1027,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Black or African American","2054-5",4540,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",60,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","White","2106-3",10404,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Female","F","More than one race","M",113,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","American Indian or Alaska Native","1002-5",92,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","Asian","A",1171,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","Black or African American","2054-5",4355,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",75,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","White","2106-3",12280,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Endocrine, nutritional and metabolic diseases","E00-E88","Male","M","More than one race","M",112,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Female","F","American Indian or Alaska Native","1002-5",46,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Female","F","Asian","A",667,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Female","F","Black or African American","2054-5",3174,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",14,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Female","F","White","2106-3",15234,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Female","F","More than one race","M",63,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Male","M","American Indian or Alaska Native","1002-5",40,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Male","M","Asian","A",456,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Male","M","Black or African American","2054-5",2240,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",10,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Male","M","White","2106-3",9530,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Mental and behavioural disorders","F01-F99","Male","M","More than one race","M",62,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Female","F","American Indian or Alaska Native","1002-5",67,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Female","F","Asian","A",1702,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Female","F","Black or African American","2054-5",4696,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",33,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Female","F","White","2106-3",28537,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Female","F","More than one race","M",151,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Male","M","American Indian or Alaska Native","1002-5",40,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Male","M","Asian","A",1132,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Male","M","Black or African American","2054-5",2896,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",27,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Male","M","White","2106-3",19167,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the nervous system","G00-G98","Male","M","More than one race","M",116,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Female","F","American Indian or Alaska Native","1002-5",250,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Female","F","Asian","A",6009,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Female","F","Black or African American","2054-5",24732,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Female","F","Native Hawaiian or Other Pacific Islander","NHOPI",176,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Female","F","White","2106-3",81986,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Female","F","More than one race","M",473,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Male","M","American Indian or Alaska Native","1002-5",353,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Male","M","Asian","A",6651,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Male","M","Black or African American","2054-5",25423,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Male","M","Native Hawaiian or Other Pacific Islander","NHOPI",272,Not Available,Not Available
,"Large Central Metro","1","2018","2018","Diseases of the circulatory system","I00-I99","Male","M","White","2106-3",85458,Not Available,Not Available
