"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"25-34 years"	"25-34"	"1999"	"1999"	55	40178406	0.136889453	0.103124300	0.178180787	0.018458170	0.006786563%
	"25-34 years"	"25-34"	"2000"	"2000"	55	39891724	0.137873209	0.103865403	0.179461284	0.018590820	0.006786563%
	"25-34 years"	"25-34"	"2001"	"2001"	55	39471522	0.139340966	0.104971123	0.181371775	0.018788732	0.006786563%
	"25-34 years"	"25-34"	"2002"	"2002"	39	39349646	0.099111438	0.070478144	0.135488309	0.015870532	0.004812290%
	"25-34 years"	"25-34"	"2003"	"2003"	60	39243795	0.152890412	0.116672203	0.196800539	0.019738067	0.007403523%
	"25-34 years"	"25-34"	"2004"	"2004"	62	39266556	0.157895182	0.121056657	0.202413728	0.020052708	0.007650307%
	"25-34 years"	"25-34"	"2005"	"2005"	64	39258647	0.163021410	0.125546049	0.208175080	0.020377676	0.007897091%
	"25-34 years"	"25-34"	"2006"	"2006"	49	39395179	0.124380701	0.092018087	0.164437506	0.017768672	0.006046210%
	"25-34 years"	"25-34"	"2007"	"2007"	52	39713463	0.130937964	0.097791019	0.171708118	0.018157829	0.006416386%
	"25-34 years"	"25-34"	"2008"	"2008"	53	40207473	0.131816292	0.098739630	0.172418346	0.018106360	0.006539779%
	"25-34 years"	"25-34"	"2009"	"2009"	61	40723342	0.149791243	0.114578317	0.192412843	0.019178803	0.007526915%
	"25-34 years"	"25-34"	"2010"	"2010"	64	41063948	0.155854474	0.120026647	0.199023046	0.019481809	0.007897091%
	"25-34 years"	"25-34"	"2011"	"2011"	50	41790498	0.119644423	0.088802483	0.157736814	0.016920277	0.006169602%
	"25-34 years"	"25-34"	"2012"	"2012"	44	42309321	0.103995996	0.075563491	0.139609425	0.015677986	0.005429250%
	"25-34 years"	"25-34"	"2013"	"2013"	60	42844587	0.140041028	0.106866709	0.180260811	0.018079219	0.007403523%
	"25-34 years"	"25-34"	"2014"	"2014"	60	43516504	0.137878723	0.105216632	0.177477492	0.017800067	0.007403523%
	"25-34 years"	"25-34"	"2015"	"2015"	62	44137202	0.140471070	0.107697765	0.180076888	0.017839844	0.007650307%
	"25-34 years"	"25-34"	"2016"	"2016"	61	44677243	0.136534835	0.104438226	0.175384457	0.017481494	0.007526915%
	"25-34 years"	"25-34"	"2017"	"2017"	56	45342672	0.123503970	0.093293664	0.160379785	0.016503912	0.006909955%
	"25-34 years"	"25-34"	"2018"	"2018"	57	45697774	0.124732553	0.094471188	0.161605990	0.016521230	0.007033347%
	"25-34 years"	"25-34"	"2019"	"2019"	53	45940321	0.115367065	0.086418007	0.150902428	0.015846885	0.006539779%
	"25-34 years"	"25-34"	"2020"	"2020"	56	46069646	0.121555091	0.091821500	0.157849010	0.016243482	0.006909955%
"Total"	"25-34 years"	"25-34"			1228	920089469	0.133465282	0.126000361	0.140930202	0.003808633	0.151525434%
	"35-44 years"	"35-44"	"1999"	"1999"	594	45076677	1.317754634	1.211781104	1.423728164	0.054068128	0.073294876%
	"35-44 years"	"35-44"	"2000"	"2000"	548	45148527	1.213771603	1.112146087	1.315397120	0.051849753	0.067618842%
	"35-44 years"	"35-44"	"2001"	"2001"	574	45051752	1.274090295	1.169858472	1.378322118	0.053179501	0.070827035%
	"35-44 years"	"35-44"	"2002"	"2002"	596	44640649	1.335106037	1.227917412	1.442294663	0.054688074	0.073541660%
	"35-44 years"	"35-44"	"2003"	"2003"	548	44154206	1.241104868	1.137190818	1.345018918	0.053017372	0.067618842%
	"35-44 years"	"35-44"	"2004"	"2004"	521	43800275	1.189490249	1.087349721	1.291630776	0.052112514	0.064287257%
	"35-44 years"	"35-44"	"2005"	"2005"	565	43505538	1.298685239	1.191598485	1.405771992	0.054636099	0.069716507%
	"35-44 years"	"35-44"	"2006"	"2006"	506	43243801	1.170109908	1.068155157	1.272064659	0.052017730	0.062436376%
	"35-44 years"	"35-44"	"2007"	"2007"	538	42796230	1.257120078	1.150891420	1.363348736	0.054198295	0.066384921%
	"35-44 years"	"35-44"	"2008"	"2008"	506	42192486	1.199265670	1.094770501	1.303760840	0.053313862	0.062436376%
	"35-44 years"	"35-44"	"2009"	"2009"	482	41487811	1.161787013	1.058067834	1.265506191	0.052917948	0.059474967%
	"35-44 years"	"35-44"	"2010"	"2010"	468	41070606	1.139501083	1.036261108	1.242741057	0.052673456	0.057747478%
	"35-44 years"	"35-44"	"2011"	"2011"	429	40627954	1.055923220	0.956001531	1.155844909	0.050980454	0.052935188%
	"35-44 years"	"35-44"	"2012"	"2012"	428	40516420	1.056361840	0.956281934	1.156441747	0.051061177	0.052811796%
	"35-44 years"	"35-44"	"2013"	"2013"	454	40452690	1.122298665	1.019061376	1.225535954	0.052672086	0.056019990%
	"35-44 years"	"35-44"	"2014"	"2014"	430	40513133	1.061384218	0.961062614	1.161705823	0.051184492	0.053058580%
