"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	524	2868102	18.269922060	16.705596568	19.834247552	0.798125251	18.040130796	16.493615010	19.586646583	0.789038666	0.064657433%
	"Alabama"	"01"	"2000"	"2000"	502	2884066	17.405981694	15.883322408	18.928640979	0.776866982	17.065967988	15.571422312	18.560513665	0.762523305	0.061942808%
	"Alabama"	"01"	"2001"	"2001"	518	2899262	17.866615711	16.327988220	19.405243202	0.785014026	17.428231956	15.925462480	18.931001434	0.766719121	0.063917081%
	"Alabama"	"01"	"2002"	"2002"	489	2912842	16.787728274	15.299760337	18.275696210	0.759167314	16.260485886	14.816393273	17.704578499	0.736781945	0.060338711%
	"Alabama"	"01"	"2003"	"2003"	497	2933859	16.940146067	15.450802041	18.429490093	0.759869401	16.361551343	14.919503122	17.803599565	0.735738888	0.061325848%
	"Alabama"	"01"	"2004"	"2004"	497	2959133	16.795460022	15.318836506	18.272083538	0.753379345	16.025641668	14.610524215	17.440759122	0.721998701	0.061325848%
	"Alabama"	"01"	"2005"	"2005"	512	2994406	17.098549762	15.617463453	18.579636072	0.755656280	16.314826873	14.895115966	17.734537780	0.724342300	0.063176728%
	"Alabama"	"01"	"2006"	"2006"	551	3043069	18.106720551	16.594830981	19.618610121	0.771372229	17.283781508	15.833120459	18.734442557	0.740133188	0.067989018%
	"Alabama"	"01"	"2007"	"2007"	584	3077548	18.976145945	17.437078472	20.515213417	0.785238506	18.013123458	16.543927233	19.482319682	0.749589910	0.072060956%
	"Alabama"	"01"	"2008"	"2008"	590	3112848	18.953704132	17.424293297	20.483114967	0.780311650	17.653312581	16.219367735	19.087257428	0.731604514	0.072801308%
	"Alabama"	"01"	"2009"	"2009"	602	3146862	19.130168403	17.601980988	20.658355818	0.779687457	17.686159067	16.261056839	19.111261294	0.727092973	0.074282013%
	"Alabama"	"01"	"2010"	"2010"	577	3168102	18.212797442	16.726708432	19.698886451	0.758208678	16.549789953	15.187807967	17.911771939	0.694888769	0.071197211%
	"Alabama"	"01"	"2011"	"2011"	645	3190717	20.214892139	18.654809361	21.774974916	0.795960601	18.102447503	16.691166836	19.513728170	0.720041157	0.079587871%
	"Alabama"	"01"	"2012"	"2012"	664	3212676	20.668128377	19.096053663	22.240203090	0.802078935	18.267338382	16.861860874	19.672815891	0.717080362	0.081932319%
	"Alabama"	"01"	"2013"	"2013"	621	3236523	19.187257437	17.678139525	20.696375348	0.769958118	16.643885009	15.317976150	17.969793868	0.676484112	0.076626461%
	"Alabama"	"01"	"2014"	"2014"	675	3261970	20.693016797	19.131926604	22.254106989	0.796474588	17.732143748	16.377039164	19.087248331	0.691379889	0.083289632%
	"Alabama"	"01"	"2015"	"2015"	684	3286823	20.810369162	19.250788632	22.369949692	0.795704352	17.786966668	16.433273198	19.140660137	0.690659933	0.084400160%
	"Alabama"	"01"	"2016"	"2016"	724	3306861	21.893874584	20.299062880	23.488686288	0.813679441	18.666849568	17.286732535	20.046966600	0.704141343	0.089335842%
	"Alabama"	"01"	"2017"	"2017"	714	3323045	21.486317519	19.910271281	23.062363757	0.804105224	17.935512882	16.598024084	19.273001681	0.682392244	0.088101922%
