"Notes","Year","Year Code","UCD - ICD Chapter","UCD - ICD Chapter Code","MCD - ICD-10 113 Cause List","MCD - ICD-10 113 Cause List Code",Deaths,Population,Crude Rate
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Salmonella infections (A01-A02)","GR113-001",60,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Certain other intestinal infections (A04,A07-A09)","GR113-003",8436,327167434,2.6
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Tuberculosis (A16-A19)","GR113-004",592,327167434,0.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Respiratory tuberculosis (A16)","GR113-005",389,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other tuberculosis (A17-A19)","GR113-006",209,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Meningococcal infection (A39)","GR113-009",30,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Septicemia (A40-A41)","GR113-010",46945,327167434,14.3
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Syphilis (A50-A53)","GR113-011",61,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Viral hepatitis (B15-B19)","GR113-015",5425,327167434,1.7
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Human immunodeficiency virus (HIV) disease (B20-B24)","GR113-016",5445,327167434,1.7
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99,U07.1,U09.9)","GR113-018",13755,327167434,4.2
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms (C00-C97)","GR113-019",3743,327167434,1.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)","GR113-020",66,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of esophagus (C15)","GR113-021",73,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of stomach (C16)","GR113-022",42,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of colon, rectum and anus (C18-C21)","GR113-023",344,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasms of liver and intrahepatic bile ducts (C22)","GR113-024",383,327167434,0.1
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of pancreas (C25)","GR113-025",160,327167434,0.0
,"2018","2018","Certain infectious and parasitic diseases","A00-B99","Malignant neoplasm of larynx (C32)","GR113-026",31,327167434,0.0
