"Notes","Residence State","Residence State Code","UCD - ICD Chapter","UCD - ICD Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","Certain infectious and parasitic diseases","A00-B99",11581,40152165,28.8
,"Alabama","01","Neoplasms","C00-D48",82491,40152165,205.4
,"Alabama","01","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",1667,40152165,4.2
,"Alabama","01","Endocrine, nutritional and metabolic diseases","E00-E88",20615,40152165,51.3
,"Alabama","01","Mental and behavioural disorders","F01-F99",13793,40152165,34.4
,"Alabama","01","Diseases of the nervous system","G00-G98",41335,40152165,102.9
,"Alabama","01","Diseases of the ear and mastoid process","H60-H93",17,40152165,Unreliable
,"Alabama","01","Diseases of the circulatory system","I00-I99",146795,40152165,365.6
,"Alabama","01","Diseases of the respiratory system","J00-J98",44688,40152165,111.3
,"Alabama","01","Diseases of the digestive system","K00-K92",16692,40152165,41.6
,"Alabama","01","Diseases of the skin and subcutaneous tissue","L00-L98",769,40152165,1.9
,"Alabama","01","Diseases of the musculoskeletal system and connective tissue","M00-M99",2427,40152165,6.0
,"Alabama","01","Diseases of the genitourinary system","N00-N98",13454,40152165,33.5
,"Alabama","01","Pregnancy, childbirth and the puerperium","O00-O99",237,40152165,0.6
,"Alabama","01","Certain conditions originating in the perinatal period","P00-P96",1390,40152165,3.5
,"Alabama","01","Congenital malformations, deformations and chromosomal abnormalities","Q00-Q99",1209,40152165,3.0
,"Alabama","01","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","R00-R99",7734,40152165,19.3
,"Alabama","01","Codes for special purposes","U00-U99",21292,40152165,53.0
,"Alabama","01","External causes of morbidity and mortality","V01-Y89",34753,40152165,86.6
,"Alabama","01","Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death.","999--999",1581,40152165,3.9
,"Alaska","02","Certain infectious and parasitic diseases","A00-B99",819,5866615,14.0
,"Alaska","02","Neoplasms","C00-D48",8339,5866615,142.1
,"Alaska","02","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","D50-D89",118,5866615,2.0
,"Alaska","02","Endocrine, nutritional and metabolic diseases","E00-E88",2128,5866615,36.3
